timestamps,delta_absolute_1,delta_absolute_2,delta_absolute_3,delta_absolute_4,theta_absolute_1,theta_absolute_2,theta_absolute_3,theta_absolute_4,alpha_absolute_1,alpha_absolute_2,alpha_absolute_3,alpha_absolute_4,beta_absolute_1,beta_absolute_2,beta_absolute_3,beta_absolute_4,gamma_absolute_1,gamma_absolute_2,gamma_absolute_3,gamma_absolute_4,delta_relative_1,delta_relative_2,delta_relative_3,delta_relative_4,theta_relative_1,theta_relative_2,theta_relative_3,theta_relative_4,alpha_relative_1,alpha_relative_2,alpha_relative_3,alpha_relative_4,beta_relative_1,beta_relative_2,beta_relative_3,beta_relative_4,gamma_relative_1,gamma_relative_2,gamma_relative_3,gamma_relative_4,delta_session_score_1,delta_session_score_2,delta_session_score_3,delta_session_score_4,theta_session_score_1,theta_session_score_2,theta_session_score_3,theta_session_score_4,alpha_session_score_1,alpha_session_score_2,alpha_session_score_3,alpha_session_score_4,beta_session_score_1,beta_session_score_2,beta_session_score_3,beta_session_score_4,gamma_session_score_1,gamma_session_score_2,gamma_session_score_3,gamma_session_score_4,focused
1569117815.5858700,,,,,,,,,0.487087,0.178027,0.853597,0.467363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117815.5859300,,,,,,,,,,,,,1.03581,0.533785,0.765509,0.898914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117815.5859500,0.512922,1.09327,0.690128,0.469502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117815.5859800,,,,,0.352477,0.69501,0.7913,0.592013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117815.5860000,,,,,,,,,,,,,,,,,1.04845,0.27277,0.794725,0.849706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117815.5860200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100254,0.0623914,0.235719,0.118338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117815.5860400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354667,0.141541,0.192445,0.319651,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117815.5860700,,,,,,,,,,,,,,,,,,,,,0.106398,0.513299,0.16178,0.118922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117815.5860700,,,,,,,,,,,,,,,,,,,,,,,,,0.0735343,0.205167,0.20422,0.157679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117815.5860900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.365147,0.0776011,0.205837,0.285409,,,,,,,,,,,,,,,,,,,,,0
1569117815.5861200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.365385,1.0,0.0,,,,,,,,,0
1569117815.5861300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.579832,1.0,0.0,,,,,0
1569117815.5861400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.515152,0.0,,,,,,,,,,,,,,,,,0
1569117815.5861600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.905263,0.908333,0.0,,,,,,,,,,,,,0
1569117815.5861700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.40458,1.0,0.0,0
1569117815.6875300,,,,,,,,,0.487087,0.178205,0.853597,0.467363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117815.6875800,,,,,,,,,,,,,1.03581,0.557872,0.778811,0.898914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117815.6876100,0.512922,1.13544,0.756445,0.469502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117815.6876300,,,,,0.352477,0.71636,0.775768,0.592013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117815.6876500,,,,,,,,,,,,,,,,,1.04845,0.366576,0.821815,0.849706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117815.6876800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100254,0.0572906,0.226925,0.118338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117815.6877000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354667,0.137325,0.191028,0.319651,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117815.6877200,,,,,,,,,,,,,,,,,,,,,0.106398,0.519178,0.18144,0.118922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117815.6877200,,,,,,,,,,,,,,,,,,,,,,,,,0.0735343,0.197806,0.189694,0.157679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117815.6877500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.365147,0.0884004,0.210912,0.285409,,,,,,,,,,,,,,,,,,,,,0
1569117815.6877800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.365385,1.0,0.0,,,,,,,,,0
1569117815.6877900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.605042,1.0,0.0,,,,,0
1569117815.6878000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.575758,0.0,,,,,,,,,,,,,,,,,0
1569117815.6878100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.926316,0.890756,0.0,,,,,,,,,,,,,0
1569117815.6878200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.473282,1.0,0.0,0
1569117815.7891900,,,,,,,,,0.487087,0.178205,0.84469,0.467363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117815.7892400,,,,,,,,,,,,,1.03581,0.55734,0.789159,0.898914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117815.7892700,0.512922,1.13462,0.79915,0.469502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117815.7892900,,,,,0.352477,0.697302,0.740127,0.592013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117815.7893100,,,,,,,,,,,,,,,,,1.04845,0.439375,0.839121,0.849706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117815.7893300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100254,0.0569207,0.219601,0.118338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117815.7893600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354667,0.136272,0.193243,0.319651,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117815.7893800,,,,,,,,,,,,,,,,,,,,,0.106398,0.514859,0.19774,0.118922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117815.7893800,,,,,,,,,,,,,,,,,,,,,,,,,0.0735343,0.188091,0.172612,0.157679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117815.7894100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.365147,0.103858,0.216803,0.285409,,,,,,,,,,,,,,,,,,,,,0
1569117815.7894300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.365385,1.0,0.0,,,,,,,,,0
1569117815.7894500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.596639,1.0,0.0,,,,,0
1569117815.7894600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.626263,0.0,,,,,,,,,,,,,,,,,0
1569117815.7894700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.905263,0.865546,0.0,,,,,,,,,,,,,0
1569117815.7894800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.534351,1.0,0.0,0
