timestamps,delta_absolute_1,delta_absolute_2,delta_absolute_3,delta_absolute_4,theta_absolute_1,theta_absolute_2,theta_absolute_3,theta_absolute_4,alpha_absolute_1,alpha_absolute_2,alpha_absolute_3,alpha_absolute_4,beta_absolute_1,beta_absolute_2,beta_absolute_3,beta_absolute_4,gamma_absolute_1,gamma_absolute_2,gamma_absolute_3,gamma_absolute_4,delta_relative_1,delta_relative_2,delta_relative_3,delta_relative_4,theta_relative_1,theta_relative_2,theta_relative_3,theta_relative_4,alpha_relative_1,alpha_relative_2,alpha_relative_3,alpha_relative_4,beta_relative_1,beta_relative_2,beta_relative_3,beta_relative_4,gamma_relative_1,gamma_relative_2,gamma_relative_3,gamma_relative_4,delta_session_score_1,delta_session_score_2,delta_session_score_3,delta_session_score_4,theta_session_score_1,theta_session_score_2,theta_session_score_3,theta_session_score_4,alpha_session_score_1,alpha_session_score_2,alpha_session_score_3,alpha_session_score_4,beta_session_score_1,beta_session_score_2,beta_session_score_3,beta_session_score_4,gamma_session_score_1,gamma_session_score_2,gamma_session_score_3,gamma_session_score_4,focused
1569118344.4422900,,,,,,,,,0.0,0.135229,-0.122081,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.4423300,,,,,,,,,,,,,0.0,0.132232,-0.280164,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.4423400,0.0,1.05397,0.664388,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.4423600,,,,,0.0,0.431167,0.00113929,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.4423700,,,,,,,,,,,,,,,,,0.0,-0.192338,-0.316657,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.4423800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.0785312,0.102272,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.4423900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.0779911,0.0710678,nan,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.4424100,,,,,,,,,,,,,,,,,,,,,nan,0.651308,0.625497,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.4424400,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.155232,0.135824,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.4424600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.0369382,0.0653401,nan,,,,,,,,,,,,,,,,,,,,,0
1569118344.4424800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0
1569118344.4425000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0
1569118344.4425000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0
1569118344.4425200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0
1569118344.4425300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1569118344.5438100,,,,,,,,,0.0,0.168235,-0.122081,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.5438500,,,,,,,,,,,,,0.0,0.11785,-0.280164,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.5438600,0.0,1.12954,0.664388,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.5438800,,,,,0.0,0.449209,0.00113929,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.5438900,,,,,,,,,,,,,,,,,0.0,-0.227789,-0.316657,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.5439000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.0749094,0.102272,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.5439100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.0667038,0.0710678,nan,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.5439300,,,,,,,,,,,,,,,,,,,,,nan,0.685233,0.625497,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
